TIC ID;TOI;TESS Disposition;TFOPWG Disposition;Source;Period (days);Period (days) err;Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
319806044;3209.01;PC;PC;qlp;13.501.717;0.0003678;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
318668441;3210.01;PC;PC;qlp;22.362.686;0.0001729;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
323002911;3211.01;PC;PC;qlp;35.948.606;0.0001152;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
316236118;3212.01;PC;PC;qlp;41.946.124;0.0002883;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
314013231;3213.01;PC;PC;qlp;25.404.165;0.0006127;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
312508092;3214.01;PC;PC;qlp;57.729.501;0.0027796;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
307888842;3215.01;PC;PC;qlp;12.011.849;0.000203;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
306547699;3216.01;PC;PC;qlp;26.991.103;0.000966;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
309436531;3217.01;EB;FP;qlp;32.136.333;0.0000042;04/06/2021;20/08/2021;29/10/2021 00:00;V-shaped
305739565;3218.01;PC;PC;qlp;33.683.715;0.0012581;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
305492348;3219.01;PC;PC;qlp;32.965.299;0.0005208;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
304950588;3220.01;PC;PC;qlp;74.239.508;0.0025042;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
303883880;3221.01;PC;PC;qlp;0.8968745;0.0001146;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
303686889;3222.01;PC;PC;qlp;5.632.236;0.0005534;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
297668572;3223.01;PC;PC;qlp;46.342.981;0.0008823;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
297457992;3224.01;PC;PC;qlp;28.302.351;0.0005911;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
401952328;3225.01;PC;PC;qlp;9.153.688;0.0049873;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
295233473;3226.01;PC;PC;qlp;23.735.506;0.0009098;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
294385899;3227.01;PC;PC;qlp;89.466.535;0.0031231;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
294365631;3228.01;PC;PC;qlp;18.121.477;0.0001684;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
290263093;3229.01;PC;PC;qlp;52.112.308;0.001274;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
289445553;3230.01;PC;PC;qlp;1.820.028;0.0001598;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
280857321;3231.01;PC;PC;qlp;21.739.624;0.0002759;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
269439355;3232.01;PC;PC;qlp;33.898.234;0.0006084;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
265633507;3233.01;PC;PC;qlp;0.9786295;0.0001213;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
260776145;3234.01;PC;PC;qlp;107.010.206;0.0004779;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
243641947;3235.01;PC;PC;qlp;25.927.363;0.0000905;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
242460075;3236.01;EB;FP;qlp;29.098.435;0.0000101;04/06/2021;05/10/2021;29/10/2021 00:00;found in faint-star QLP search
242389810;3237.01;PC;PC;qlp;30.270.335;0.0004497;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
241752370;3238.01;PC;PC;qlp;3.224.746;0.0006871;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
241569046;3239.01;PC;PC;qlp;22.290.958;0.0009706;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
241514551;3240.01;PC;PC;qlp;38.595.547;0.0006218;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
241326434;3241.01;PC;PC;qlp;68.379.451;0.0003526;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
209923610;3242.01;PC;PC;qlp;30.000.357;0.001092;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
209707800;3243.01;PC;PC;qlp;20.517.062;0.0002163;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
208091447;3244.01;PC;PC;qlp;46.606.892;0.0017508;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
203476998;3245.01;PC;PC;qlp;28.971.879;0.0005505;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
179715231;3246.01;PC;PC;qlp;43.184.505;0.0009315;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
167597352;3247.01;PC;PC;qlp;53.284.049;0.0037187;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
165667705;3248.01;PC;PC;qlp;32.778.923;0.0007434;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
159262969;3249.01;PC;PC;qlp;32.457.284;0.0014798;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
125424836;3250.01;PC;PC;qlp;32.800.191;0.000359;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
121194926;3251.01;PC;PC;qlp;20.680.295;0.000719;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
112037211;3252.01;PC;PC;qlp;43.619.499;0.0008015;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
112037203;3253.01;PC;FP;qlp;43.622.356;0.0008529;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
107506563;3254.01;PC;PC;qlp;16.837.622;0.0002395;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
83395136;3255.01;PC;PC;qlp;22.465.319;0.0004759;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
322901324;3256.01;PC;PC;qlp;63.096.108;0.0000388;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
76505260;3257.01;PC;FP;qlp;25.336.422;0.000009;04/06/2021;04/06/2021;02/11/2021 14:52;found in faint-star QLP search
369789627;3258.01;PC;PC;qlp;12.278.465;0.0001044;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
68523365;3259.01;PC;PC;qlp;34.464.432;0.0007134;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
370138999;3260.01;PC;PC;qlp;114.519.176;0.0000657;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
358070912;3261.01;PC;PC;qlp;0.8831279;0.0000024;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
280096473;3262.01;PC;PC;qlp;128.770.898;0.0000263;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
